Lon,Lat
-121.17973,27.35997
-121.21127,27.46261
-121.24288,27.56529
-121.27457,27.66798
-121.30635,27.77071
-121.33821,27.87345
-121.37015,27.97622
-121.40217,28.07902
-121.43427,28.18184
-121.46646,28.28468
-121.49873,28.38754
-121.53108,28.49043
-121.56351,28.59334
-121.59604,28.69627
-121.62864,28.79922
-121.66133,28.90219
-121.6941,29.00519
-121.72696,29.1082
-121.7599,29.21124
-121.79293,29.31429
-121.82604,29.41737
-121.85925,29.52046
-121.89253,29.62357
-121.92591,29.7267
-121.95937,29.82985
-121.99292,29.93301
-122.02656,30.0362
-122.06029,30.1394
-122.0941,30.24261
-122.12801,30.34585
-122.162,30.4491
-122.19608,30.55236
-122.23026,30.65565
-122.26452,30.75894
-122.29887,30.86225
-122.33332,30.96558
-122.36786,31.06891
-122.40249,31.17227
-122.43721,31.27563
-122.47202,31.37901
-122.50693,31.4824
-122.54192,31.58581
-122.57702,31.68922
-122.61221,31.79265
-122.64749,31.89609
-122.68287,31.99953
-122.71834,32.10299
-122.75391,32.20646
-122.78957,32.30994
-122.82533,32.41343
-122.86118,32.51693
-122.89713,32.62043
-122.93318,32.72395
-122.96933,32.82747
-123.00558,32.931
-123.04192,33.03454
-123.07837,33.13808
-123.11491,33.24163
-123.15155,33.34519
-123.18829,33.44875
-123.22514,33.55232
-123.26208,33.65589
-123.29913,33.75947
-123.33627,33.86305
-123.37353,33.96663
-123.41087,34.07022
-123.44833,34.17381
-123.48589,34.27741
-123.52355,34.381
-123.56132,34.4846
-123.59919,34.5882
-123.63716,34.69181
-123.67525,34.79541
-123.71343,34.89901
-123.75172,35.00262
-123.79012,35.10622
-123.82863,35.20982
-123.86725,35.31342
-123.90597,35.41702
-123.9448,35.52062
-123.98374,35.62422
-124.02279,35.72781
-124.06195,35.8314
-124.10122,35.93499
-124.1406,36.03857
-124.18009,36.14215
-124.2197,36.24573
-124.25941,36.3493
-124.29924,36.45286
-124.33918,36.55642
-124.37923,36.65998
-124.4194,36.76352
-124.45969,36.86706
-124.50008,36.9706
-124.5406,37.07412
-124.58122,37.17764
-124.62197,37.28115
-124.66283,37.38465
-124.70381,37.48814
-124.74491,37.59162
-124.78613,37.69509
-124.82745,37.79855
-124.86891,37.902
-124.91048,38.00544
-124.95218,38.10887
-124.99399,38.21229
-125.03593,38.31569
-125.07799,38.41908
-125.12016,38.52246
-125.16247,38.62582
-125.2049,38.72918
-125.24744,38.83251
-125.29012,38.93583
-125.33292,39.03914
-125.37584,39.14243
-125.41889,39.2457
-125.46207,39.34896
-125.50537,39.4522
-125.54881,39.55543
-125.59236,39.65863
-125.63605,39.76182
-125.67987,39.86499
-125.72382,39.96814
-125.7679,40.07128
-125.8121,40.17439
-125.85645,40.27748
-125.90092,40.38055
-125.94552,40.4836
-125.99026,40.58664
-126.03513,40.68964
-126.08014,40.79263
-126.12528,40.8956
-126.17056,40.99854
-126.21597,41.10145
-126.26152,41.20435
-126.30721,41.30722
-126.35303,41.41006
-126.39899,41.51288
-126.4451,41.61568
-126.49134,41.71844
-126.53772,41.82119
-126.58424,41.9239
-126.63091,42.02659
-126.67771,42.12925
-126.72466,42.23189
-126.77176,42.33449
-126.81899,42.43707
-126.86638,42.53962
-126.9139,42.64213
-126.96158,42.74462
-127.0094,42.84708
-127.05737,42.9495
-127.10548,43.0519
-127.15374,43.15426
-127.20216,43.25659
-127.25072,43.35889
-127.29943,43.46115
-127.3483,43.56339
-127.39731,43.66558
-127.44648,43.76775
-127.4958,43.86988
-127.54528,43.97197
-127.59491,44.07403
-127.6447,44.17605
-127.69464,44.27803
-127.74474,44.37998
-127.795,44.4819
-127.84541,44.58377
-127.89599,44.6856
-127.94672,44.7874
-127.99761,44.88916
-128.04866,44.99088
-128.09988,45.09256
-128.15126,45.19419
-128.2028,45.29579
-128.25452,45.39735
-128.30638,45.49886
-128.35843,45.60034
-128.41063,45.70177
-128.463,45.80315
-128.51553,45.9045
-128.56824,46.0058
-128.62112,46.10706
-128.67416,46.20827
-128.72739,46.30943
-128.78078,46.41055
-128.83434,46.51163
-128.88808,46.61266
-128.94199,46.71364
-128.99606,46.81457
-129.05032,46.91546
-129.10477,47.0163
-129.15938,47.11709
-129.21417,47.21783
-129.26913,47.31852
-129.3243,47.41916
-129.37962,47.51975
-129.43513,47.62029
-129.49083,47.72078
-129.54672,47.82122
-129.60278,47.9216
-129.65903,48.02193
-119.75761,22.89925
-119.78576,23.00052
-119.81398,23.10183
-119.84226,23.20318
-119.87062,23.30456
-119.89904,23.40599
-119.92754,23.50745
-119.9561,23.60895
-119.98473,23.71048
-120.01344,23.81206
-120.04221,23.91367
-120.07104,24.01531
-120.09996,24.11699
-120.12894,24.21871
-120.158,24.32046
-120.18713,24.42224
-120.21633,24.52407
-120.2456,24.62592
-120.27494,24.72781
-120.30436,24.82973
-120.33385,24.93169
-120.36341,25.03368
-120.39304,25.1357
-120.42275,25.23775
-120.45254,25.33984
-120.48239,25.44196
-120.51232,25.54411
-120.54233,25.64629
-120.57241,25.7485
-120.60257,25.85075
-120.6328,25.95302
-120.66311,26.05532
-120.69349,26.15766
-120.72395,26.26002
-120.75449,26.36241
-120.7851,26.46483
-120.81579,26.56729
-120.84656,26.66976
-120.8774,26.77227
-120.90833,26.8748
-120.93933,26.97736
-120.97041,27.07995
-121.00157,27.18257
-121.03281,27.28521
-121.06413,27.38787
-121.09553,27.49057
-121.12701,27.59328
-121.15856,27.69603
-121.1902,27.7988
-121.22192,27.90159
-121.25372,28.0044
-121.28561,28.10724
-121.31757,28.21011
-121.34962,28.31299
-121.38175,28.4159
-121.41396,28.51884
-121.44626,28.62179
-121.47864,28.72477
-121.5111,28.82776
-121.54365,28.93078
-121.57628,29.03382
-121.609,29.13688
-121.6418,29.23996
-121.67469,29.34306
-121.70766,29.44618
-121.74072,29.54932
-121.77386,29.65248
-121.8071,29.75566
-121.84042,29.85885
-121.87383,29.96206
-121.90732,30.06529
-121.9409,30.16854
-121.97457,30.2718
-122.00833,30.37508
-122.04218,30.47838
-122.07611,30.58169
-122.11015,30.68501
-122.14426,30.78836
-122.17847,30.89171
-122.21277,30.99508
-122.24715,31.09847
-122.28164,31.20187
-122.31621,31.30528
-122.35088,31.4087
-122.38564,31.51214
-122.42049,31.61559
-122.45543,31.71906
-122.49047,31.82253
-122.5256,31.92601
-122.56083,32.02951
-122.59615,32.13301
-122.63157,32.23653
-122.66708,32.34005
-122.70268,32.44359
-122.73839,32.54713
-122.77419,32.65069
-122.81009,32.75425
-122.84608,32.85782
-122.88218,32.9614
-122.91837,33.06498
-122.95466,33.16857
-122.99105,33.27217
-123.02753,33.37577
-123.06413,33.47938
-123.10081,33.58299
-123.1376,33.68661
-123.17449,33.79024
-123.21148,33.89386
-123.24857,33.9975
-123.28577,34.10114
-123.32307,34.20477
-123.36047,34.30841
-123.39797,34.41206
-123.43558,34.51571
-123.47329,34.61935
-123.51111,34.723
-123.54903,34.82665
-123.58706,34.9303
-123.62519,35.03395
-123.66343,35.1376
-123.70177,35.24126
-123.74023,35.34491
-123.77879,35.44855
-123.81746,35.5522
-123.85624,35.65584
-123.89513,35.75948
-123.93413,35.86312
-123.97323,35.96676
-124.01245,36.07039
-124.05177,36.17402
-124.09122,36.27764
-124.13077,36.38126
-124.17043,36.48487
-124.21021,36.58848
-124.25009,36.69208
-124.29009,36.79567
-124.33021,36.89926
-124.37045,37.00284
-124.41079,37.10642
-124.45125,37.20998
-124.49183,37.31354
-124.53252,37.41709
-124.57333,37.52063
-124.61426,37.62416
-124.6553,37.72768
-124.69647,37.83119
-124.73775,37.93469
-124.77915,38.03817
-124.82068,38.14165
-124.86232,38.24512
-124.90408,38.34857
-124.94597,38.45201
-124.98798,38.55544
-125.03011,38.65885
-125.07236,38.76225
-125.11474,38.86563
-125.15723,38.969
-125.19986,39.07235
-125.24261,39.17569
-125.28548,39.27902
-125.32848,39.38232
-125.37161,39.48561
-125.41487,39.58889
-125.45825,39.69214
-125.50176,39.79538
-125.5454,39.8986
-125.58917,40.0018
-125.63307,40.10498
-125.6771,40.20814
-125.72126,40.31128
-125.76556,40.41441
-125.80998,40.51751
-125.85454,40.62059
-125.89923,40.72364
-125.94405,40.82668
-125.98901,40.92969
-126.03411,41.03268
-126.07934,41.13565
-126.1247,41.23859
-126.17021,41.34151
-126.21585,41.4444
-126.26163,41.54727
-126.30755,41.65012
-126.3536,41.75293
-126.3998,41.85573
-126.44614,41.95849
-126.49261,42.06123
-126.53924,42.16394
-126.586,42.26662
-126.6329,42.36928
-126.67995,42.4719
-126.72715,42.5745
-126.77448,42.67707
-126.82197,42.7796
-126.8696,42.88211
-126.91737,42.98458
-126.9653,43.08703
-127.01337,43.18944
-127.06159,43.29182
-127.10996,43.39417
-127.15849,43.49649
-127.20716,43.59877
-127.25598,43.70102
-127.30495,43.80323
-127.35409,43.90541
-127.40337,44.00755
-127.4528,44.10966
-127.5024,44.21173
-127.55214,44.31377
-127.60204,44.41576
-127.65211,44.51773
-127.70232,44.61965
-127.7527,44.72153
-127.80324,44.82338
-127.85393,44.92519
-127.90479,45.02696
-127.9558,45.12869
-128.00699,45.23038
-128.05832,45.33203
-128.10983,45.43363
-128.1615,45.5352
-128.21333,45.63672
-128.26534,45.7382
-128.3175,45.83964
-128.36984,45.94103
-128.42235,46.04239
-128.47502,46.14369
-128.52786,46.24495
-128.58087,46.34617
-128.63406,46.44734
-128.68741,46.54847
-128.74095,46.64954
-128.79465,46.75058
-128.84853,46.85156
-128.90257,46.9525
-128.9568,47.05339
-129.01122,47.15423
-129.0658,47.25502
-129.12056,47.35576
-129.17551,47.45646
-129.23062,47.55709
-129.28592,47.65769
-129.34142,47.75823
-129.39708,47.85872
-129.45293,47.95915
-129.50897,48.05954
-119.64766,22.92509
-119.67569,23.0264
-119.70378,23.12775
-119.73194,23.22915
-119.76017,23.33058
-119.78847,23.43204
-119.81683,23.53355
-119.84528,23.63509
-119.87378,23.73667
-119.90235,23.83829
-119.931,23.93994
-119.95972,24.04163
-119.9885,24.14335
-120.01736,24.24511
-120.04629,24.34691
-120.07529,24.44874
-120.10435,24.5506
-120.1335,24.6525
-120.16271,24.75443
-120.192,24.8564
-120.22136,24.9584
-120.25079,25.06043
-120.2803,25.1625
-120.30988,25.2646
-120.33952,25.36673
-120.36926,25.46889
-120.39906,25.57109
-120.42892,25.67331
-120.45888,25.77557
-120.4889,25.87786
-120.519,25.98018
-120.54917,26.08252
-120.57942,26.1849
-120.60975,26.28731
-120.64015,26.38975
-120.67063,26.49221
-120.70119,26.59471
-120.73183,26.69723
-120.76254,26.79978
-120.79333,26.90236
-120.82419,27.00496
-120.85513,27.1076
-120.88616,27.21025
-120.91727,27.31294
-120.94845,27.41565
-120.97971,27.51839
-121.01105,27.62115
-121.04247,27.72394
-121.07397,27.82675
-121.10555,27.92959
-121.13721,28.03245
-121.16896,28.13534
-121.20079,28.23825
-121.2327,28.34118
-121.26469,28.44413
-121.29676,28.54711
-121.32892,28.65011
-121.36116,28.75313
-121.39348,28.85618
-121.42589,28.95924
-121.45838,29.06232
-121.49095,29.16543
-121.52361,29.26856
-121.55636,29.3717
-121.58919,29.47487
-121.62211,29.57805
-121.65511,29.68126
-121.68819,29.78448
-121.72137,29.88772
-121.75463,29.99097
-121.78799,30.09425
-121.82142,30.19754
-121.85495,30.30085
-121.88857,30.40418
-121.92226,30.50752
-121.95605,30.61088
-121.98994,30.71425
-122.02391,30.81764
-122.05797,30.92104
-122.09212,31.02446
-122.12637,31.12789
-122.1607,31.23133
-122.19512,31.33479
-122.22964,31.43826
-122.26425,31.54175
